,word_can_search,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_polarity,textblob_subjectivity,textblob_pos_tags
0,now,1,1,1,[1],0.0,0.0,"[('now', 'RB')]"
1,dad,4,4,4,"[2, 298, 444, 649]",0.0,0.0,"[('dad', 'NN')]"
2,this,3,3,3,"[3, 644, 657]",0.0,0.0,"[('this', 'DT')]"
3,is,2,2,2,"[4, 645]",0.0,0.0,"[('is', 'VBZ')]"
4,a,12,12,12,"[5, 82, 160, 229, 259, 261, 264, 296, 332, 437, 442, 646]",0.0,0.0,"[('a', 'DT')]"
5,very,1,1,1,[6],0.2,0.3,"[('very', 'RB')]"
6,sensitive,1,1,1,[7],0.1,0.9,"[('sensitive', 'JJ')]"
7,subject,1,1,1,[8],-0.16666666666666666,0.3333333333333333,"[('subject', 'NN')]"
8,just,24,5,4,"[9, 14, 19, 24, 29, 84, 176, 188, 193, 198, 208, 232, 396, 408, 413, 418, 428, 457, 504, 604, 616, 621, 626, 636]",0.0,0.0,"[('just', 'RB')]"
9,the,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]",0.0,0.0,"[('the', 'DT')]"
10,two,20,0,0,"[11, 16, 21, 26, 31, 178, 190, 195, 200, 210, 398, 410, 415, 420, 430, 606, 618, 623, 628, 638]",0.0,0.0,"[('two', 'CD')]"
11,of,21,1,1,"[12, 17, 22, 27, 32, 179, 191, 196, 201, 211, 312, 399, 411, 416, 421, 431, 607, 619, 624, 629, 639]",0.0,0.0,"[('of', 'IN')]"
12,us,20,0,0,"[13, 18, 23, 28, 33, 180, 192, 197, 202, 212, 400, 412, 417, 422, 432, 608, 620, 625, 630, 640]",0.0,0.0,"[('us', 'PRP')]"
13,from,3,3,3,"[34, 75, 526]",0.0,0.0,"[('from', 'IN')]"
14,first,2,2,2,"[36, 79]",0.25,0.3333333333333333,"[('first', 'RB')]"
15,time,2,2,2,"[37, 273]",0.0,0.0,"[('time', 'NN')]"
16,doctor,2,2,2,"[39, 262]",0.0,0.0,"[('doctor', 'NN')]"
17,placed,2,2,2,"[40, 104]",0.0,0.0,"[('placed', 'VBN')]"
18,you,30,27,27,"[41, 53, 101, 105, 142, 175, 213, 225, 245, 256, 270, 281, 289, 300, 319, 328, 342, 346, 351, 374, 385, 433, 445, 547, 550, 553, 570, 598, 603, 641]",0.0,0.0,"[('you', 'PRP')]"
19,in,11,8,8,"[42, 59, 90, 106, 205, 357, 377, 425, 505, 565, 633]",0.0,0.0,"[('in', 'IN')]"
20,my,9,9,9,"[43, 60, 122, 134, 149, 172, 313, 478, 508]",0.0,0.0,"[('my', 'PRP$')]"
21,arms,1,1,1,[44],0.0,0.0,"[('arms', 'NNS')]"
22,I,30,27,27,"[45, 63, 111, 116, 119, 127, 138, 140, 152, 170, 215, 222, 226, 253, 267, 275, 292, 308, 316, 320, 325, 338, 392, 435, 452, 454, 475, 596, 643, 653]",0.0,0.0,"[('I', 'PRP')]"
23,knew,1,1,1,[46],0.0,0.0,"[('knew', 'NNS')]"
24,I'd,2,2,2,"[47, 51]",0.0,0.0,"[('I', 'PRP'), (""'d"", 'MD')]"
25,meet,2,2,2,"[48, 54]",0.0,0.0,"[('meet', 'NN')]"
26,death,1,1,1,[49],0.0,0.0,"[('death', 'NN')]"
27,before,1,1,1,[50],0.0,0.0,"[('before', 'IN')]"
28,let,3,3,3,"[52, 157, 555]",0.0,0.0,"[('let', 'VB')]"
29,harm,1,1,1,[55],0.0,0.0,"[('harm', 'NN')]"
30,although,1,1,1,[56],0.0,0.0,"[('although', 'IN')]"
31,questions,1,1,1,[57],0.0,0.0,"[('questions', 'NNS')]"
32,arose,1,1,1,[58],0.0,0.0,"[('arose', 'NN')]"
33,mind,2,2,2,"[61, 340]",0.0,0.0,"[('mind', 'NN')]"
34,would,1,1,1,[62],0.0,0.0,"[('would', 'MD')]"
35,be,10,10,10,"[64, 72, 159, 239, 258, 295, 301, 331, 441, 492]",0.0,0.0,"[('be', 'VB')]"
36,man,3,3,3,"[65, 228, 333]",0.0,0.0,"[('man', 'NN')]"
37,enough,1,1,1,[66],0.0,0.5,"[('enough', 'RB')]"
38,against,1,1,1,[67],0.0,0.0,"[('against', 'IN')]"
39,wrong,1,1,1,[68],-0.5,0.9,"[('wrong', 'JJ')]"
40,choose,1,1,1,[69],0.0,0.0,"[('choose', 'NN')]"
41,right,2,2,2,"[70, 91]",0.2857142857142857,0.5357142857142857,"[('right', 'NN')]"
42,and,14,11,11,"[71, 151, 214, 236, 250, 337, 350, 365, 384, 434, 520, 551, 599, 642]",0.0,0.0,"[('and', 'CC')]"
43,standing,1,1,1,[73],0.0,0.0,"[('standing', 'VBG')]"
44,up,1,1,1,[74],0.0,0.0,"[('up', 'RB')]"
45,hospital,1,1,1,[77],0.0,0.0,"[('hospital', 'NN')]"
46,that,7,7,7,"[78, 109, 278, 286, 291, 481, 591]",0.0,0.0,"[('that', 'IN')]"
47,night,2,2,2,"[80, 110]",0.0,0.0,"[('night', 'NN')]"
48,took,1,1,1,[81],0.0,0.0,"[('took', 'VBD')]"
49,hour,1,1,1,[83],0.0,0.0,"[('hour', 'NN')]"
50,to,12,12,12,"[85, 124, 148, 174, 294, 318, 330, 372, 440, 458, 473, 510]",0.0,0.0,"[('to', 'TO')]"
51,get,1,1,1,[86],0.0,0.0,"[('get', 'VB')]"
52,car,1,1,1,[88],0.0,0.0,"[('car', 'NN')]"
53,seat,1,1,1,[89],0.0,0.0,"[('seat', 'NN')]"
54,people,2,2,2,"[92, 544]",0.0,0.0,"[('people', 'NNS')]"
55,driving,1,1,1,[93],0.0,0.0,"[('driving', 'VBG')]"
56,all,4,4,4,"[94, 163, 251, 271]",0.0,0.0,"[('all', 'DT')]"
57,fast,1,1,1,[95],0.2,0.6,"[('fast', 'NN')]"
58,got,5,5,5,"[96, 100, 246, 393, 446]",0.0,0.0,"[('got', 'VBD')]"
59,me,8,8,8,"[97, 158, 231, 234, 242, 303, 364, 470]",0.0,0.0,"[('me', 'PRP')]"
60,kinda,1,1,1,[98],0.0,0.0,"[('kinda', 'NN')]"
61,upset,1,1,1,[99],0.0,0.0,"[('upset', 'NN')]"
62,home,1,1,1,[102],0.0,0.0,"[('home', 'NN')]"
63,safe,1,1,1,[103],0.5,0.5,"[('safe', 'JJ')]"
64,your,10,10,10,"[107, 125, 130, 247, 366, 394, 467, 518, 566, 577]",0.0,0.0,"[('your', 'PRP$')]"
65,bassinet,1,1,1,[108],0.0,0.0,"[('bassinet', 'NN')]"
66,don't,3,3,3,"[112, 339, 534]",0.0,0.0,"[('do', 'VBP'), (""n't"", 'RB')]"
67,think,2,2,2,"[113, 227]",0.0,0.0,"[('think', 'NN')]"
68,one,4,4,4,"[114, 390, 489, 512]",0.0,0.0,"[('one', 'CD')]"
69,wink,1,1,1,[115],0.0,0.0,"[('wink', 'NN')]"
70,slept,1,1,1,[117],0.0,0.0,"[('slept', 'NN')]"
71,as,2,2,2,"[118, 345]",0.0,0.0,"[('as', 'IN')]"
72,slipped,1,1,1,[120],0.0,0.0,"[('slipped', 'VBD')]"
73,out,4,4,4,"[121, 362, 537, 582]",0.0,0.0,"[('out', 'IN')]"
74,bed,1,1,1,[123],0.0,0.0,"[('bed', 'NN')]"
75,crib,1,1,1,[126],0.0,0.0,"[('crib', 'NN')]"
76,crept,1,1,1,[128],0.0,0.0,"[('crept', 'NN')]"
77,touched,1,1,1,[129],0.0,0.0,"[('touched', 'VBN')]"
78,head,1,1,1,[131],0.0,0.0,"[('head', 'NN')]"
79,gently,1,1,1,[132],0.2,0.8,"[('gently', 'RB')]"
80,felt,1,1,1,[133],0.0,0.0,"[('felt', 'NN')]"
81,heart,3,3,3,"[135, 519, 567]",0.0,0.0,"[('heart', 'NN')]"
82,melt,1,1,1,[136],0.0,0.0,"[('melt', 'NN')]"
83,because,3,3,3,"[137, 244, 563]",0.0,0.0,"[('because', 'IN')]"
84,know,2,2,2,"[139, 476]",0.0,0.0,"[('know', 'VB')]"
85,loved,1,1,1,[141],0.7,0.8,"[('loved', 'VBN')]"
