,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line
0,Now,Now,now,1,1,1,Intro: Trey Smith,1,1
1,Dad,Dad,dad,2,1,1,Intro: Trey Smith,1,2
2,this,this,this,3,1,1,Intro: Trey Smith,1,3
3,is,is,is,4,1,1,Intro: Trey Smith,1,4
4,a,a,a,5,1,1,Intro: Trey Smith,1,5
5,very,very,very,6,1,1,Intro: Trey Smith,1,6
6,sensitive,sensitive,sensitive,7,1,1,Intro: Trey Smith,1,7
7,subject,subject,subject,8,1,1,Intro: Trey Smith,1,8
8,Just,Just,just,9,2,2,Chorus,1,1
9,the,the,the,10,2,2,Chorus,1,2
10,two,two,two,11,2,2,Chorus,1,3
11,of,of,of,12,2,2,Chorus,1,4
12,us,us,us,13,2,2,Chorus,1,5
13,Just,Just,just,14,3,2,Chorus,2,6
14,the,the,the,15,3,2,Chorus,2,7
15,two,two,two,16,3,2,Chorus,2,8
16,of,of,of,17,3,2,Chorus,2,9
17,us,us,us,18,3,2,Chorus,2,10
18,(just,just,just,19,3,2,Chorus,2,11
19,the,the,the,20,3,2,Chorus,2,12
20,two,two,two,21,3,2,Chorus,2,13
21,of,of,of,22,3,2,Chorus,2,14
22,us),us,us,23,3,2,Chorus,2,15
23,Just,Just,just,24,4,2,Chorus,3,16
24,the,the,the,25,4,2,Chorus,3,17
25,two,two,two,26,4,2,Chorus,3,18
26,of,of,of,27,4,2,Chorus,3,19
27,us,us,us,28,4,2,Chorus,3,20
28,(just,just,just,29,4,2,Chorus,3,21
29,the,the,the,30,4,2,Chorus,3,22
30,two,two,two,31,4,2,Chorus,3,23
31,of,of,of,32,4,2,Chorus,3,24
32,us),us,us,33,4,2,Chorus,3,25
33,From,From,from,34,5,3,Verse 1: Will Smith,1,1
34,the,the,the,35,5,3,Verse 1: Will Smith,1,2
35,first,first,first,36,5,3,Verse 1: Will Smith,1,3
36,time,time,time,37,5,3,Verse 1: Will Smith,1,4
37,the,the,the,38,5,3,Verse 1: Will Smith,1,5
38,doctor,doctor,doctor,39,5,3,Verse 1: Will Smith,1,6
39,placed,placed,placed,40,5,3,Verse 1: Will Smith,1,7
40,you,you,you,41,5,3,Verse 1: Will Smith,1,8
41,in,in,in,42,5,3,Verse 1: Will Smith,1,9
42,my,my,my,43,5,3,Verse 1: Will Smith,1,10
43,arms,arms,arms,44,5,3,Verse 1: Will Smith,1,11
44,I,I,I,45,6,3,Verse 1: Will Smith,2,12
45,knew,knew,knew,46,6,3,Verse 1: Will Smith,2,13
46,I'd,I'd,I'd,47,6,3,Verse 1: Will Smith,2,14
47,meet,meet,meet,48,6,3,Verse 1: Will Smith,2,15
48,death,death,death,49,6,3,Verse 1: Will Smith,2,16
49,before,before,before,50,6,3,Verse 1: Will Smith,2,17
50,I'd,I'd,I'd,51,6,3,Verse 1: Will Smith,2,18
51,let,let,let,52,6,3,Verse 1: Will Smith,2,19
52,you,you,you,53,6,3,Verse 1: Will Smith,2,20
53,meet,meet,meet,54,6,3,Verse 1: Will Smith,2,21
54,harm,harm,harm,55,6,3,Verse 1: Will Smith,2,22
55,Although,Although,although,56,7,3,Verse 1: Will Smith,3,23
56,questions,questions,questions,57,7,3,Verse 1: Will Smith,3,24
57,arose,arose,arose,58,7,3,Verse 1: Will Smith,3,25
58,in,in,in,59,7,3,Verse 1: Will Smith,3,26
59,my,my,my,60,7,3,Verse 1: Will Smith,3,27
60,"mind,",mind,mind,61,7,3,Verse 1: Will Smith,3,28
61,would,would,would,62,7,3,Verse 1: Will Smith,3,29
62,I,I,I,63,7,3,Verse 1: Will Smith,3,30
63,be,be,be,64,7,3,Verse 1: Will Smith,3,31
64,man,man,man,65,7,3,Verse 1: Will Smith,3,32
65,enough,enough,enough,66,7,3,Verse 1: Will Smith,3,33
66,Against,Against,against,67,8,3,Verse 1: Will Smith,4,34
