,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,line_original,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,tsne_x,tsne_y,positivity_bar_chart,song_name,artist_name
0,Yo,Yo,yo,1,1,1,Intro,1,1,7,7,7,"[1, 43, 127, 273, 391, 545, 575]","[('yo', 'NN')]",N,POSITIVE,0.9966,"Yo VIP, let's kick it", yo vip let's kick it,POSITIVE,0.9477,0.9477,45,0.6716417910447762,0.9966,154,0.8324324324324325,-4.703425,-18.901571,pos_word_pos_line,Ice Ice Baby,Vanilla Ice
1,"VIP,",VIP,vip,2,1,1,Intro,1,2,1,1,1,[2],"[('vip', 'NN')]",N,POSITIVE,0.9991,"Yo VIP, let's kick it", yo vip let's kick it,POSITIVE,0.9477,0.9477,45,0.6716417910447762,0.9991,177,0.9567567567567568,-18.495012,2.6149502,pos_word_pos_line,Ice Ice Baby,Vanilla Ice
2,let's,let's,let's,3,1,1,Intro,1,3,2,2,2,"[3, 577]","[('let', 'NN'), (""'s"", 'POS')]",MULT,POSITIVE,0.9118,"Yo VIP, let's kick it", yo vip let's kick it,POSITIVE,0.9477,0.9477,45,0.6716417910447762,0.9118,70,0.3783783783783784,12.307652,-18.530632,pos_word_pos_line,Ice Ice Baby,Vanilla Ice
3,kick,kick,kick,4,1,1,Intro,1,4,3,3,3,"[4, 450, 537]","[('kick', 'NN')]",N,POSITIVE,0.978,"Yo VIP, let's kick it", yo vip let's kick it,POSITIVE,0.9477,0.9477,45,0.6716417910447762,0.978,92,0.4972972972972973,-2.0687885,7.755514,pos_word_pos_line,Ice Ice Baby,Vanilla Ice
4,it,it,it,5,1,1,Intro,1,5,13,13,13,"[5, 40, 105, 108, 130, 139, 394, 403, 437, 482, 518, 548, 557]","[('it', 'PRP')]",PRON,POSITIVE,0.9927,"Yo VIP, let's kick it", yo vip let's kick it,POSITIVE,0.9477,0.9477,45,0.6716417910447762,0.9927,129,0.6972972972972973,11.76994,-12.421598,pos_word_pos_line,Ice Ice Baby,Vanilla Ice
5,Ice,Ice,ice,6,2,2,Hook,1,1,42,42,42,"[6, 7, 9, 10, 17, 140, 141, 144, 145, 148, 149, 152, 153, 404, 405, 408, 409, 412, 413, 416, 417, 558, 559, 562, 563, 566, 567, 570, 571, 586, 587, 591, 592, 596, 597, 601, 602, 608, 609, 615, 616, 622]","[('ice', 'NN')]",N,POSITIVE,0.9661,Ice ice baby, ice ice baby,POSITIVE,0.9922,0.9922,52,0.7761194029850746,0.9661,86,0.4648648648648649,-25.037834,-3.198895,pos_word_pos_line,Ice Ice Baby,Vanilla Ice
6,ice,ice,ice,7,2,2,Hook,1,2,42,42,42,"[6, 7, 9, 10, 17, 140, 141, 144, 145, 148, 149, 152, 153, 404, 405, 408, 409, 412, 413, 416, 417, 558, 559, 562, 563, 566, 567, 570, 571, 586, 587, 591, 592, 596, 597, 601, 602, 608, 609, 615, 616, 622]","[('ice', 'NN')]",N,POSITIVE,0.9661,Ice ice baby, ice ice baby,POSITIVE,0.9922,0.9922,52,0.7761194029850746,0.9661,86,0.4648648648648649,-25.198877,-3.783414,pos_word_pos_line,Ice Ice Baby,Vanilla Ice
7,baby,baby,baby,8,2,2,Hook,1,3,20,20,20,"[8, 11, 142, 146, 150, 154, 406, 410, 414, 418, 560, 564, 568, 572, 588, 593, 598, 603, 610, 617]","[('baby', 'NN')]",N,POSITIVE,0.9969,Ice ice baby, ice ice baby,POSITIVE,0.9922,0.9922,52,0.7761194029850746,0.9969,156,0.8432432432432433,-8.598702,-12.562266,pos_word_pos_line,Ice Ice Baby,Vanilla Ice
8,Ice,Ice,ice,9,3,2,Hook,2,4,42,42,42,"[6, 7, 9, 10, 17, 140, 141, 144, 145, 148, 149, 152, 153, 404, 405, 408, 409, 412, 413, 416, 417, 558, 559, 562, 563, 566, 567, 570, 571, 586, 587, 591, 592, 596, 597, 601, 602, 608, 609, 615, 616, 622]","[('ice', 'NN')]",N,POSITIVE,0.9661,Ice ice baby, ice ice baby,POSITIVE,0.9922,0.9922,52,0.7761194029850746,0.9661,86,0.4648648648648649,-22.403599,-3.8013368,pos_word_pos_line,Ice Ice Baby,Vanilla Ice
9,ice,ice,ice,10,3,2,Hook,2,5,42,42,42,"[6, 7, 9, 10, 17, 140, 141, 144, 145, 148, 149, 152, 153, 404, 405, 408, 409, 412, 413, 416, 417, 558, 559, 562, 563, 566, 567, 570, 571, 586, 587, 591, 592, 596, 597, 601, 602, 608, 609, 615, 616, 622]","[('ice', 'NN')]",N,POSITIVE,0.9661,Ice ice baby, ice ice baby,POSITIVE,0.9922,0.9922,52,0.7761194029850746,0.9661,86,0.4648648648648649,-22.850527,-5.2363305,pos_word_pos_line,Ice Ice Baby,Vanilla Ice
