,line_original,line_index_in_song,line_classified,line_label,line_score,tsne_x,tsne_y
0,We at war,1, we at war,NEGATIVE,0.9847,19.323597,4.62993
1,"We at war with terrorism, racism",2, we at war with terrorism racism,NEGATIVE,0.9887,16.66579,7.123241
2,But most of all we at war with ourselves,3, but most of all we at war with ourselves,NEGATIVE,0.8996,17.594786,11.55206
3,(Jesus walk),4, jesus walk,POSITIVE,0.9099,15.681024,-6.598993
4,God show me the way because the Devil's tryna break me down,5, god show me the way because the devil's tryna break me down,NEGATIVE,0.9939,2.0186303,3.134668
5,(Jesus walk with me),6, jesus walk with me,POSITIVE,0.9918,0.16289902,-17.952755
6,You know what the Midwest is? Young and restless,7, you know what the midwest is young and restless,NEGATIVE,0.9002,4.40158,23.826826
7,Where restless (Niggas) might snatch your necklace,8, where restless niggas might snatch your necklace,NEGATIVE,0.9929,-6.135646,12.959294
8,And next these (Niggas) might jack your Lexus,9, and next these niggas might jack your lexus,NEGATIVE,0.9973,-9.60472,11.936835
9,Somebody tell these (Niggas) who Kanye West is,10, somebody tell these niggas who kanye west is,NEGATIVE,0.9914,-13.229951,10.068999
10,I walk through the valley of the Chi where death is,11, I walk through the valley of the chi where death is,NEGATIVE,0.978,1.6857501,-3.8104208
11,Top floor the view alone will leave you breathless *gasps*,12, top floor the view alone will leave you breathless *gasps*,POSITIVE,0.9989,7.2428164,10.469874
12,Try to catch it *gasps* it's kinda hard,13, try to catch it *gasps* it's kinda hard,NEGATIVE,0.9989,-1.5659453,19.399738
13,"Getting choked by detectives, yeah, yeah, now check the method",14, getting choked by detectives yeah yeah now check the method,NEGATIVE,0.9978,-18.372608,13.80061
14,"They be askin' us questions, harass and arrest us",15, they be askin' us questions harass and arrest us,NEGATIVE,0.9963,-19.314781,25.14568
15,"Sayin' ""We eat pieces of shit like you for breakfast""",16," sayin' ""we eat pieces of shit like you for breakfast""",POSITIVE,0.9831,-14.428899,17.234247
16,Huh? Y'all eat pieces of shit? What's the basis?,17, huh y'all eat pieces of shit what's the basis,NEGATIVE,0.992,-15.955637,20.724493
