,line_original,line_index_in_song,line_classified,line_label,line_score,tsne_x,tsne_y
0,"A roaring lion, walketh about, seekin' whom he may devour",1, a roaring lion walketh about seekin' whom he may devour,POSITIVE,0.9909,-28.532774,-16.699215
1,"(Ronny J, please turn me up)",2, ronny j please turn me up,POSITIVE,0.9991,46.470997,-7.668696
2,"Take some, rain, nonstop, rain don't want war",3," take some, rain nonstop rain don't want war",POSITIVE,0.9855,21.411282,-64.366165
3,"Rain come, rain come",4, rain come rain come,POSITIVE,0.8479,246.83057,443.86496
4,"Come shine, come rain, come up",5, come shine come rain come up,POSITIVE,0.9943,22.745514,-410.62686
5,"Southside, let it bang",6, southside let it bang,POSITIVE,0.9964,-21.108746,53.14536
6,"Outside, let it rain",7, outside let it rain,NEGATIVE,0.9802,30.111427,-72.05363
7,Rain down on a pain,8, rain down on a pain,NEGATIVE,0.9979,43.88057,-68.75684
8,Rain down on the slain,9, rain down on the slain,NEGATIVE,0.9934,61.266453,-68.93923
9,Rain down for my mom (Ooh),10, rain down for my mom ooh,NEGATIVE,0.8428,48.9827,-20.546831
10,Rain down on the farm (Ah),11, rain down on the farm ah,NEGATIVE,0.9957,38.453754,-54.17756
11,Shower us with your love (Huh),12, shower us with your love huh,POSITIVE,0.9991,-22.611368,-38.217533
12,Wash us in the blood  (Ooh),13, wash us in the blood ooh,NEGATIVE,0.6457,0.3123763,-22.991165
13,Drop this for the thugs (Ah),14, drop this for the thugs ah,NEGATIVE,0.9751,-26.483255,-55.626343
14,Know I grew up in the mud (Huh),15, know I grew up in the mud huh,NEGATIVE,0.9967,-64.89067,24.711123
15,The top is not enough,16, the top is not enough,NEGATIVE,0.9988,-54.895348,54.28878
16,Wash us in the blood (Ah),17, wash us in the blood ah,NEGATIVE,0.923,-2.3995042,-42.210857
17,Is there anybody here? Huh,18, is there anybody here huh,NEGATIVE,0.9878,47.92859,44.297287
18,Is there anybody here? Ooh,19, is there anybody here ooh,NEGATIVE,0.8118,45.05277,37.478024
19,That can save no matter how much he player-hate? Hahaha,20, that can save no matter how much he player-hate hahaha,NEGATIVE,0.9992,0.8077684,76.71463
20,"It was the blood that, ooh",21, it was the blood that ooh,POSITIVE,0.9771,15.545924,14.980245
21,"It was the blood that, God",22, it was the blood that god,POSITIVE,0.7465,24.447512,7.515968
22,"It was the blood that cleansed me, ha",23, it was the blood that cleansed me ha,POSITIVE,0.9805,14.913015,4.4666414
23,"It was the, ooh",24, it was the ooh,POSITIVE,0.9739,17.949095,23.92973
24,Shower down on us (Ah),25, shower down on us ah,POSITIVE,0.9886,69.595,-47.58391
25,Wash us in the blood (Huh),26, wash us in the blood huh,NEGATIVE,0.9694,-0.32721072,-53.815784
26,Wash us in the blood (Ooh),27, wash us in the blood ooh,NEGATIVE,0.6457,-8.737606,-22.52392
27,Whole life bein' thugs (Hah),28, whole life bein' thugs hah,NEGATIVE,0.9839,-85.43752,-16.02541
28,"No choice, sellin' drugs (Huh)",29, no choice sellin' drugs huh,NEGATIVE,0.9982,-71.204895,9.814879
29,"Southside, what it does? (God)",30, southside what it does god,POSITIVE,0.982,-9.06746,48.952255
30,Rain down on us (Ah),31, rain down on us ah,NEGATIVE,0.9024,59.75724,-55.605366
31,Genocide what it does (Huh),32, genocide what it does huh,NEGATIVE,0.9948,2.0809216,53.806297
32,Slavery what it does (Ooh),33, slavery what it does ooh,NEGATIVE,0.99,14.227189,41.766293
