,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,line_original,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,tsne_x,tsne_y
0,A,A,a,1,1,1,Intro,1,1,9,9,9,"[1, 42, 311, 364, 443, 449, 478, 496, 526]","[('a', 'DT')]",DET,POSITIVE,0.9873,"A roaring lion, walketh about, seekin' whom he may devour", a roaring lion walketh about seekin' whom he may devour,POSITIVE,0.9909,0.9909,73,0.9125,0.9873,94,0.6482758620689655,-6.1977563,15.862261
1,roaring,roaring,roaring,2,1,1,Intro,1,2,1,1,1,[2],"[('roaring', 'VBG')]",V,POSITIVE,0.9932,"A roaring lion, walketh about, seekin' whom he may devour", a roaring lion walketh about seekin' whom he may devour,POSITIVE,0.9909,0.9909,73,0.9125,0.9932,110,0.7586206896551724,-9.58596,-9.328564
2,"lion,",lion,lion,3,1,1,Intro,1,3,1,1,1,[3],"[('lion', 'NN')]",N,POSITIVE,0.9967,"A roaring lion, walketh about, seekin' whom he may devour", a roaring lion walketh about seekin' whom he may devour,POSITIVE,0.9909,0.9909,73,0.9125,0.9967,122,0.8413793103448276,-10.301001,-8.258278
3,walketh,walketh,walketh,4,1,1,Intro,1,4,1,1,1,[4],"[('walketh', 'NNS')]",N,POSITIVE,0.9889,"A roaring lion, walketh about, seekin' whom he may devour", a roaring lion walketh about seekin' whom he may devour,POSITIVE,0.9909,0.9909,73,0.9125,0.9889,97,0.6689655172413793,0.9194561,-8.4134035
4,"about,",about,about,5,1,1,Intro,1,5,1,1,1,[5],"[('about', 'IN')]",PREP,POSITIVE,0.9686,"A roaring lion, walketh about, seekin' whom he may devour", a roaring lion walketh about seekin' whom he may devour,POSITIVE,0.9909,0.9909,73,0.9125,0.9686,74,0.5103448275862069,-12.541822,14.7402
5,seekin',seekin',seekin',6,1,1,Intro,1,6,1,1,1,[6],"[('seekin', 'NN')]",N,NEGATIVE,0.8528,"A roaring lion, walketh about, seekin' whom he may devour", a roaring lion walketh about seekin' whom he may devour,POSITIVE,0.9909,0.9909,73,0.9125,-0.8528,34,0.23448275862068965,2.9865227,-22.929102
6,whom,whom,whom,7,1,1,Intro,1,7,1,1,1,[7],"[('whom', 'WP')]",OTH,POSITIVE,0.9885,"A roaring lion, walketh about, seekin' whom he may devour", a roaring lion walketh about seekin' whom he may devour,POSITIVE,0.9909,0.9909,73,0.9125,0.9885,95,0.6551724137931034,2.0410979,2.9328694
7,he,he,he,8,1,1,Intro,1,8,2,2,2,"[8, 115]","[('he', 'PRP')]",PRON,POSITIVE,0.9707,"A roaring lion, walketh about, seekin' whom he may devour", a roaring lion walketh about seekin' whom he may devour,POSITIVE,0.9909,0.9909,73,0.9125,0.9707,77,0.5310344827586206,0.64022106,8.397854
8,may,may,may,9,1,1,Intro,1,9,1,1,1,[9],"[('may', 'MD')]",V,POSITIVE,0.9942,"A roaring lion, walketh about, seekin' whom he may devour", a roaring lion walketh about seekin' whom he may devour,POSITIVE,0.9909,0.9909,73,0.9125,0.9942,113,0.7793103448275862,-18.255121,-16.195845
9,devour,devour,devour,10,1,1,Intro,1,10,1,1,1,[10],"[('devour', 'NN')]",N,POSITIVE,0.5024,"A roaring lion, walketh about, seekin' whom he may devour", a roaring lion walketh about seekin' whom he may devour,POSITIVE,0.9909,0.9909,73,0.9125,0.5024,40,0.27586206896551724,-0.8364686,-4.2375574
