,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,line_original,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,positivity_bar_chart,song_name,artist_name,tsne_x_combined,tsne_y_combined
0,I,I,I,1,1,1,Intro,1,1,33,27,26,"[1, 13, 15, 25, 44, 51, 63, 66, 76, 100, 121, 130, 137, 144, 154, 170, 182, 199, 204, 242, 256, 271, 285, 297, 320, 329, 338, 350, 359, 367, 373, 381, 384]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,I don't want a lot for Christmas, I don't want a lot for christmas,NEGATIVE,0.9975,-0.9975,4,0.1111111111111111,0.9797,36,0.4235294117647059,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,3.4980101585388184,-2.9368908405303955
1,don't,don't,don't,2,1,1,Intro,1,2,6,6,6,"[2, 16, 52, 67, 77, 272]","[('do', 'VBP'), (""n't"", 'RB')]",MULT,NEGATIVE,0.9883,I don't want a lot for Christmas, I don't want a lot for christmas,NEGATIVE,0.9975,-0.9975,4,0.1111111111111111,-0.9883,2,0.023529411764705882,neg_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-3.976262331008911,11.79769229888916
2,want,want,want,3,1,1,Intro,1,3,19,13,13,"[3, 27, 45, 53, 102, 122, 184, 205, 273, 299, 321, 330, 339, 351, 360, 369, 374, 382, 386]","[('want', 'NN')]",N,POSITIVE,0.987,I don't want a lot for Christmas, I don't want a lot for christmas,NEGATIVE,0.9975,-0.9975,4,0.1111111111111111,0.987,42,0.49411764705882355,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-4.747140407562256,3.3684213161468506
3,a,a,a,4,1,1,Intro,1,4,5,5,5,"[4, 54, 95, 157, 274]","[('a', 'DT')]",DET,POSITIVE,0.9873,I don't want a lot for Christmas, I don't want a lot for christmas,NEGATIVE,0.9975,-0.9975,4,0.1111111111111111,0.9873,43,0.5058823529411764,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,5.8534393310546875,-9.708706855773926
4,lot,lot,lot,5,1,1,Intro,1,5,3,3,3,"[5, 55, 275]","[('lot', 'NN')]",N,POSITIVE,0.9982,I don't want a lot for Christmas, I don't want a lot for christmas,NEGATIVE,0.9975,-0.9975,4,0.1111111111111111,0.9982,70,0.8235294117647058,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,0.7147326469421387,-1.2963979244232178
5,for,for,for,6,1,1,Intro,1,6,19,14,14,"[6, 29, 46, 56, 104, 123, 133, 141, 166, 206, 276, 283, 301, 322, 331, 340, 352, 361, 375]","[('for', 'IN')]",PREP,POSITIVE,0.9701,I don't want a lot for Christmas, I don't want a lot for christmas,NEGATIVE,0.9975,-0.9975,4,0.1111111111111111,0.9701,28,0.32941176470588235,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,6.148812294006348,-6.937467098236084
6,Christmas,Christmas,christmas,7,1,1,Intro,1,7,16,13,13,"[7, 23, 47, 57, 74, 98, 124, 136, 207, 277, 323, 332, 341, 353, 362, 376]","[('christmas', 'NN')]",N,POSITIVE,0.9993,I don't want a lot for Christmas, I don't want a lot for christmas,NEGATIVE,0.9975,-0.9975,4,0.1111111111111111,0.9993,80,0.9411764705882353,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-8.733607292175293,-5.057106971740723
7,There,There,there,8,2,1,Intro,2,8,3,3,3,"[8, 58, 83]","[('there', 'RB')]",ADV,POSITIVE,0.9937,There is just one thing I need, there is just one thing I need,NEGATIVE,0.9585,-0.9585,9,0.25,0.9937,55,0.6470588235294118,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,2.132260799407959,3.4673805236816406
8,is,is,is,9,2,1,Intro,2,9,14,11,11,"[9, 48, 59, 125, 208, 238, 279, 324, 333, 342, 354, 363, 377, 387]","[('is', 'VBZ')]",V,POSITIVE,0.9275,There is just one thing I need, there is just one thing I need,NEGATIVE,0.9585,-0.9585,9,0.25,0.9275,23,0.27058823529411763,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,3.536557912826538,-11.414331436157227
9,just,just,just,10,2,1,Intro,2,10,8,5,5,"[10, 26, 60, 101, 146, 183, 286, 298]","[('just', 'RB')]",ADV,POSITIVE,0.8226,There is just one thing I need, there is just one thing I need,NEGATIVE,0.9585,-0.9585,9,0.25,0.8226,16,0.18823529411764706,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,5.636667251586914,1.2784091234207153
