,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,line_original,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,positivity_bar_chart,song_name,artist_name,tsne_x_combined,tsne_y_combined
0,0,0,0,0,0,0,0,0,0,0,Mmm,Mmm,mmm,1,1,1,Intro: Freddie Mercury,1,1,1,1,1,[1],"[('mmm', 'NN')]",N,POSITIVE,0.9973,Mmm num ba de, mmm num ba de,NEGATIVE,0.7904,-0.7904,22,0.5238095238095238,0.9973,87,0.8365384615384616,pos_word_neg_line,Under Pressure,Queen & David Bowie,-9.712456703186037,-15.312911987304688
1,1,1,1,1,1,1,1,1,1,1,num,num,num,2,1,1,Intro: Freddie Mercury,1,2,1,1,1,[2],"[('num', 'NN')]",N,NEGATIVE,0.9261,Mmm num ba de, mmm num ba de,NEGATIVE,0.7904,-0.7904,22,0.5238095238095238,-0.9261,18,0.17307692307692307,neg_word_neg_line,Under Pressure,Queen & David Bowie,18.21089172363281,8.072282791137695
2,2,2,2,2,2,2,2,2,2,2,ba,ba,ba,3,1,1,Intro: Freddie Mercury,1,3,13,13,13,"[3, 7, 12, 45, 46, 49, 50, 97, 98, 120, 124, 125, 126]","[('ba', 'NN')]",N,POSITIVE,0.9783,Mmm num ba de, mmm num ba de,NEGATIVE,0.7904,-0.7904,22,0.5238095238095238,0.9783,54,0.5192307692307693,pos_word_neg_line,Under Pressure,Queen & David Bowie,10.90511417388916,-0.2669279873371124
3,3,3,3,3,3,3,3,3,3,3,de,de,de,4,1,1,Intro: Freddie Mercury,1,4,8,8,8,"[4, 52, 91, 137, 139, 145, 147, 149]","[('de', 'NNS')]",N,POSITIVE,0.73,Mmm num ba de, mmm num ba de,NEGATIVE,0.7904,-0.7904,22,0.5238095238095238,0.73,29,0.27884615384615385,pos_word_neg_line,Under Pressure,Queen & David Bowie,12.215702056884766,1.8881493806838991
4,4,4,4,4,4,4,4,4,4,4,Dum,Dum,dum,5,2,1,Intro: Freddie Mercury,2,5,2,2,2,"[5, 11]","[('dum', 'NN')]",N,NEGATIVE,0.9993,Dum bum ba be, dum bum ba be,NEGATIVE,0.9971,-0.9971,4,0.09523809523809523,-0.9993,4,0.038461538461538464,neg_word_neg_line,Under Pressure,Queen & David Bowie,18.1674919128418,8.321503639221191
5,5,5,5,5,5,5,5,5,5,5,bum,bum,bum,6,2,1,Intro: Freddie Mercury,2,6,1,1,1,[6],"[('bum', 'NN')]",N,NEGATIVE,0.9998,Dum bum ba be, dum bum ba be,NEGATIVE,0.9971,-0.9971,4,0.09523809523809523,-0.9998,0,0.0,neg_word_neg_line,Under Pressure,Queen & David Bowie,-4.228065490722656,0.5139008164405823
6,6,6,6,6,6,6,6,6,6,6,ba,ba,ba,7,2,1,Intro: Freddie Mercury,2,7,13,13,13,"[3, 7, 12, 45, 46, 49, 50, 97, 98, 120, 124, 125, 126]","[('ba', 'NN')]",N,POSITIVE,0.9783,Dum bum ba be, dum bum ba be,NEGATIVE,0.9971,-0.9971,4,0.09523809523809523,0.9783,54,0.5192307692307693,pos_word_neg_line,Under Pressure,Queen & David Bowie,10.90511417388916,-0.2669279873371124
7,7,7,7,7,7,7,7,7,7,7,be,be,be,8,2,1,Intro: Freddie Mercury,2,8,5,5,5,"[8, 47, 51, 121, 130]","[('be', 'VB')]",V,POSITIVE,0.962,Dum bum ba be, dum bum ba be,NEGATIVE,0.9971,-0.9971,4,0.09523809523809523,0.962,45,0.4326923076923077,pos_word_neg_line,Under Pressure,Queen & David Bowie,-15.1807861328125,0.7993068695068359
8,8,8,8,8,8,8,8,8,8,8,Doo,Doo,doo,9,3,1,Intro: Freddie Mercury,3,9,1,1,1,[9],"[('doo', 'NN')]",N,NEGATIVE,0.9651,Doo buh dum ba beh beh, doo buh dum ba beh beh,NEGATIVE,0.9718,-0.9718,18,0.42857142857142855,-0.9651,16,0.15384615384615385,neg_word_neg_line,Under Pressure,Queen & David Bowie,-5.632504463195801,0.8048525452613831
9,9,9,9,9,9,9,9,9,9,9,buh,buh,buh,10,3,1,Intro: Freddie Mercury,3,10,1,1,1,[10],"[('buh', 'NN')]",N,NEGATIVE,0.9707,Doo buh dum ba beh beh, doo buh dum ba beh beh,NEGATIVE,0.9718,-0.9718,18,0.42857142857142855,-0.9707,15,0.14423076923076922,neg_word_neg_line,Under Pressure,Queen & David Bowie,-15.925772666931152,-14.236595153808596
