,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,line_original,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,positivity_bar_chart,song_name,artist_name,tsne_x_combined,tsne_y_combined
0,0,0,0,0,Now,Now,now,1,1,1,Intro: Trey Smith,1,1,1,1,1,[1],"[('now', 'RB')]",ADV,POSITIVE,0.9831,Now Dad this is a very sensitive subject, now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076924,0.9831,102,0.5795454545454546,pos_word_pos_line,Just the Two of Us,Will Smith,13.80911636352539,6.637104511260986
1,1,1,1,1,Dad,Dad,dad,2,1,1,Intro: Trey Smith,1,2,4,4,4,"[2, 298, 444, 649]","[('dad', 'NN')]",N,POSITIVE,0.9941,Now Dad this is a very sensitive subject, now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076924,0.9941,134,0.7613636363636364,pos_word_pos_line,Just the Two of Us,Will Smith,-9.376358032226562,12.704513549804688
2,2,2,2,2,this,this,this,3,1,1,Intro: Trey Smith,1,3,3,3,3,"[3, 644, 657]","[('this', 'DT')]",DET,POSITIVE,0.9931,Now Dad this is a very sensitive subject, now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076924,0.9931,128,0.7272727272727273,pos_word_pos_line,Just the Two of Us,Will Smith,3.893171787261963,2.743216037750244
3,3,3,3,3,is,is,is,4,1,1,Intro: Trey Smith,1,4,2,2,2,"[4, 645]","[('is', 'VBZ')]",V,POSITIVE,0.9275,Now Dad this is a very sensitive subject, now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076924,0.9275,69,0.3920454545454545,pos_word_pos_line,Just the Two of Us,Will Smith,5.113893508911133,-12.738661766052244
4,4,4,4,4,a,a,a,5,1,1,Intro: Trey Smith,1,5,12,12,12,"[5, 82, 160, 229, 259, 261, 264, 296, 332, 437, 442, 646]","[('a', 'DT')]",DET,POSITIVE,0.9873,Now Dad this is a very sensitive subject, now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076924,0.9873,115,0.6534090909090909,pos_word_pos_line,Just the Two of Us,Will Smith,5.090866088867188,-10.639092445373537
5,5,5,5,5,very,very,very,6,1,1,Intro: Trey Smith,1,6,1,1,1,[6],"[('very', 'RB')]",ADV,POSITIVE,0.9929,Now Dad this is a very sensitive subject, now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076924,0.9929,127,0.7215909090909091,pos_word_pos_line,Just the Two of Us,Will Smith,9.128103256225586,4.286230564117432
6,6,6,6,6,sensitive,sensitive,sensitive,7,1,1,Intro: Trey Smith,1,7,1,1,1,[7],"[('sensitive', 'JJ')]",ADJ,POSITIVE,0.9997,Now Dad this is a very sensitive subject, now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076924,0.9997,174,0.9886363636363636,pos_word_pos_line,Just the Two of Us,Will Smith,2.404449224472046,7.442466259002685
7,7,7,7,7,subject,subject,subject,8,1,1,Intro: Trey Smith,1,8,1,1,1,[8],"[('subject', 'NN')]",N,POSITIVE,0.9933,Now Dad this is a very sensitive subject, now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076924,0.9933,130,0.7386363636363636,pos_word_pos_line,Just the Two of Us,Will Smith,-6.288651943206787,3.78945255279541
8,8,8,8,8,Just,Just,just,9,2,2,Chorus,1,1,24,5,4,"[9, 14, 19, 24, 29, 84, 176, 188, 193, 198, 208, 232, 396, 408, 413, 418, 428, 457, 504, 604, 616, 621, 626, 636]","[('just', 'RB')]",ADV,POSITIVE,0.8226,Just the two of us, just the two of us,POSITIVE,0.9991,0.9991,45,0.8653846153846154,0.8226,59,0.3352272727272727,pos_word_pos_line,Just the Two of Us,Will Smith,10.688145637512207,5.462139129638672
9,9,9,9,9,the,the,the,10,2,2,Chorus,1,2,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,Just the two of us, just the two of us,POSITIVE,0.9991,0.9991,45,0.8653846153846154,0.9636,84,0.4772727272727273,pos_word_pos_line,Just the Two of Us,Will Smith,5.6437530517578125,-7.906484127044678
