,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,m_w_definition,m_w_synonyms,m_w_synonyms_in_data,m_w_antonyms,m_w_antonyms_in_data,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,tsne_x,tsne_y
0,Now,Now,now,1,1,1,Intro: Trey Smith,1,1,1,1,1,[1],"[('now', 'RB')]",ADV,POSITIVE,0.9831,"['at the present time or moment', 'in the time immediately before the present', 'in the time immediately to follow : forthwith']","[['anymore', 'currently', 'nowadays', 'presently', 'right now', 'today'], ['freshly', 'just', 'late', 'lately', 'new', 'newly', 'only', 'recently'], ['here and there', 'now and then', 'occasionally', 'sometimes'], ['bang', 'directly', 'forthwith', 'headlong', 'immediately', 'incontinently', 'instantaneously', 'instanter', 'instantly', 'PDQ', 'plumb', 'presently', 'promptly', 'pronto', 'right', 'right away', 'right now', 'right off', 'straight off', 'straightaway', 'straightway']]","['just', 'sometimes', 'right']","[['before', 'formerly', 'long', 'once', 'then'], ['anciently']]","['before', 'long', 'then']", now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9831,102,0.5795454545454546,10.013294,15.2507515
1,Dad,Dad,dad,2,1,1,Intro: Trey Smith,1,2,4,4,4,"[2, 298, 444, 649]","[('dad', 'NN')]",N,POSITIVE,0.9941,['a male parent : father —often used as a name'],"[['daddy', 'father', 'old man', 'pa', 'papa', 'pater', 'pop', 'sire']]",['daddy'],[],[], now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9941,134,0.7613636363636364,-7.9660177,11.913014
2,this,this,this,3,1,1,Intro: Trey Smith,1,3,3,3,3,"[3, 644, 657]","[('this', 'DT')]",DET,POSITIVE,0.9931,"['the person, thing, or idea that is present or near in place, time, or thought or that has just been mentioned', 'what is stated in the following phrase, clause, or discourse', 'this time or place']","[['closer', 'hither', 'near', 'nigher']]",[],"[['far', 'farther', 'further', 'opposite', 'other', 'that']]","['opposite', 'that']", now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9931,128,0.7272727272727273,9.032402,3.3090134
3,is,is,is,4,1,1,Intro: Trey Smith,1,4,2,2,2,"[4, 645]","[('is', 'VBZ')]",V,POSITIVE,0.9275,[],"[['breathes', 'exists', 'lives', 'subsists'], ['bears', 'lies', 'sits', 'stands'], ['grades', 'places', 'ranks', 'rates', 'stands'], ['befalls', 'betides', 'chances', 'comes', 'comes about', 'comes down', 'comes off', 'cooks', 'does', 'goes down', 'goes on', 'happens', 'haps', 'occurs', 'passes', 'transpires']]",['does'],"[['departs', 'dies', 'expires', 'passes away', 'perishes', 'succumbs']]",[], now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9275,69,0.39204545454545453,7.5243936,-7.663761
4,a,a,a,5,1,1,Intro: Trey Smith,1,5,12,12,12,"[5, 82, 160, 229, 259, 261, 264, 296, 332, 437, 442, 646]","[('a', 'DT')]",DET,POSITIVE,0.9873,"['the 1st letter of the English alphabet', 'a graphic representation of this letter', 'a speech counterpart of orthographic a']","[['au courant', 'chic', 'cool', 'exclusive', 'fashionable', 'fresh', 'happening', 'hip', 'in', 'modish', 'sharp', 'smart', 'snappy', 'stylish', 'supercool', 'swell', 'swish', 'trendy', 'voguish']]",['in'],"[['dowdy', 'out', 'outmoded', 'styleless', 'unchic', 'uncool', 'unfashionable', 'unmodish', 'unstylish']]",['out'], now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9873,115,0.6534090909090909,22.537947,-5.029458
5,very,very,very,6,1,1,Intro: Trey Smith,1,6,1,1,1,[6],"[('very', 'RB')]",ADV,POSITIVE,0.9929,"['to a high degree : exceedingly', 'in actual fact : truly']","[['achingly', 'almighty', 'archly', 'awful', 'awfully', 'badly', 'beastly', 'blisteringly', 'bone', 'colossally', 'corking', 'cracking', 'damn', 'damned', 'dang', 'deadly', 'desperately', 'eminently', 'enormously', 'especially', 'ever', 'exceedingly', 'extra', 'extremely', 'fabulously', 'fantastically', 'far', 'fiercely', 'filthy', 'frightfully', 'full', 'greatly', 'heavily', 'highly', 'hugely', 'immensely', 'incredibly', 'intensely', 'jolly', 'majorly', 'mightily', 'mighty', 'monstrous', 'mortally', 'most', 'much', 'particularly', 'passing', 'rattling', 'real', 'really', 'right', 'roaring', 'roaringly', 'seriously', 'severely', 'so', 'sore', 'sorely', 'spanking', 'specially', 'stinking', 'such', 'super', 'supremely', 'surpassingly', 'terribly', 'that', 'thumping', 'too', 'unco', 'uncommonly', 'vastly', 'vitally', 'way', 'whacking', 'wicked', 'wildly'], ['actually', 'authentically', 'certifiably', 'genuinely', 'really', 'truly', 'veritably']]","['much', 'right', 'so', 'that', 'too']","[['little', 'negligibly', 'nominally', 'slightly', 'somewhat'], ['professedly', 'supposedly']]",['little'], now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9929,127,0.7215909090909091,3.5127661,12.202275
6,sensitive,sensitive,sensitive,7,1,1,Intro: Trey Smith,1,7,1,1,1,[7],"[('sensitive', 'JJ')]",ADJ,POSITIVE,0.9997,"['sensory', 'receptive to sense impressions', 'capable of being stimulated or excited by external agents (such as light, gravity, or contact)']","[['acute', 'delicate', 'fine', 'keen', 'perceptive', 'quick', 'sharp'], ['endangered', 'exposed', 'liable', 'open', 'subject (to)', 'susceptible', 'vulnerable'], ['delicate', 'fragile', 'frail', 'tender'], ['sensational', 'sensorial', 'sensory', 'sensuous'], ['catchy', 'delicate', 'difficult', 'dodgy', 'hairy', 'knotty', 'nasty', 'prickly', 'problematic', 'spiny', 'sticky', 'thorny', 'ticklish', 'touchy', 'tough', 'tricksy', 'tricky']]",['tough'],"[['insusceptible', 'invulnerable', 'unexposed', 'unsusceptible'], ['tough']]",['tough'], now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9997,174,0.9886363636363636,-4.440362,3.5546575
7,subject,subject,subject,8,1,1,Intro: Trey Smith,1,8,1,1,1,[8],"[('subject', 'NN')]",N,POSITIVE,0.9933,"['one that is placed under authority or control: such as', 'vassal', ""one subject to a monarch and governed by the monarch's law""]","[['content', 'matter', 'motif', 'motive', 'question', 'theme', 'topic'], ['citizen', 'freeman', 'national'], ['account', 'authority', 'grounds', 'motive', 'reason', 'wherefore', 'why']]",['why'],"[['alien', 'noncitizen']]",[], now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9933,130,0.7386363636363636,-10.815391,0.77897865
8,Just,Just,just,9,2,2,Chorus,1,1,24,5,4,"[9, 14, 19, 24, 29, 84, 176, 188, 193, 198, 208, 232, 396, 408, 413, 418, 428, 457, 504, 604, 616, 621, 626, 636]","[('just', 'RB')]",ADV,POSITIVE,0.8226,"['having a basis in or conforming to fact or reason : reasonable', 'conforming to a standard of correctness : proper', 'faithful to an original']","[['exactly', 'precisely'], ['barely', 'hardly', 'marginally', 'narrowly', 'scarcely', 'slightly'], ['but', 'merely', 'only', 'purely', 'simply'], ['due', 'exactly', 'full', 'precisely', 'right', 'sharp', 'smack-dab', 'squarely'], ['alone', 'exclusively', 'only', 'purely', 'simply', 'solely'], ['freshly', 'late', 'lately', 'new', 'newly', 'now', 'only', 'recently']]","['but', 'right', 'now']","[['considerably', 'significantly', 'substantially', 'vastly', 'well'], ['anciently']]",[], just the two of us,POSITIVE,0.9991,0.9991,45,0.8653846153846154,0.8226,59,0.3352272727272727,5.760635,15.845068
9,the,the,the,10,2,2,Chorus,1,2,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,"['—used as a function word to indicate that a following noun or noun equivalent is definite or has been previously specified by context or by circumstance', '—used as a function word to indicate that a following noun or noun equivalent is a unique or a particular member of its class', '—used as a function word before nouns that designate natural phenomena or points of the compass']","[['beer and skittles', 'easy street', 'fun and games', 'hog heaven', 'picnic']]",[],[],[], just the two of us,POSITIVE,0.9991,0.9991,45,0.8653846153846154,0.9636,84,0.4772727272727273,7.9804125,-12.779027
10,two,two,two,11,2,2,Chorus,1,3,20,0,0,"[11, 16, 21, 26, 31, 178, 190, 195, 200, 210, 398, 410, 415, 420, 430, 606, 618, 623, 628, 638]","[('two', 'CD')]",DET,POSITIVE,0.9899,"['being one more than one in number', 'being the second —used postpositively']","[['C-note', 'fifty', 'fin', 'five', 'fiver', 'hundred', 'one', 'sawbuck', 'ten', 'tenner', 'twenty', 'buck', 'dollar', 'simoleon', 'smacker', 'cash', 'chips', 'currency', 'dough', 'legal tender', 'lucre', 'money', 'pelf', 'dead presidents', 'paper money', 'scrip', 'check', 'draft', 'money order', 'banknote', 'bill', 'greenback', 'note']]","['five', 'one']",[],[], just the two of us,POSITIVE,0.9991,0.9991,45,0.8653846153846154,0.9899,119,0.6761363636363636,39.214073,12.955867
11,of,of,of,12,2,2,Chorus,1,4,21,1,1,"[12, 17, 22, 27, 32, 179, 191, 196, 201, 211, 312, 399, 411, 416, 421, 431, 607, 619, 624, 629, 639]","[('of', 'IN')]",PREP,POSITIVE,0.9193,"['—used as a function word to indicate a point of reckoning', '—used as a function word to indicate origin or derivation', '—used as a function word to indicate the cause, motive, or reason']","[['afore', 'ahead of', 'before', 'ere', 'fore', 'previous to', 'prior to', 'to'], ['about', 'apropos', 'apropos of', 'as far as', 'as for', 'as regards', 'as to', 'concerning', 'on', 'regarding', 'respecting', 'touching', 'toward']]","['before', 'to', 'on']","[['after', 'following']]",[], just the two of us,POSITIVE,0.9991,0.9991,45,0.8653846153846154,0.9193,67,0.3806818181818182,14.716055,-25.391562
12,us,us,us,13,2,2,Chorus,1,5,20,0,0,"[13, 18, 23, 28, 33, 180, 192, 197, 202, 212, 400, 412, 417, 422, 432, 608, 620, 625, 630, 640]","[('us', 'PRP')]",PRON,POSITIVE,0.9990000000000001,[],"[['acquaint', 'advise', 'apprise', 'brief', 'catch up', 'clear', 'clue (in)', 'enlighten', 'familiarize', 'fill in', 'hip', 'inform', 'instruct', 'tell', 'verse', 'wise (up)']]",['tell'],[],[], just the two of us,POSITIVE,0.9991,0.9991,45,0.8653846153846154,0.9990000000000001,167,0.9488636363636364,-23.785639,14.688671
13,Just,Just,just,14,3,2,Chorus,2,6,24,5,4,"[9, 14, 19, 24, 29, 84, 176, 188, 193, 198, 208, 232, 396, 408, 413, 418, 428, 457, 504, 604, 616, 621, 626, 636]","[('just', 'RB')]",ADV,POSITIVE,0.8226,"['having a basis in or conforming to fact or reason : reasonable', 'conforming to a standard of correctness : proper', 'faithful to an original']","[['exactly', 'precisely'], ['barely', 'hardly', 'marginally', 'narrowly', 'scarcely', 'slightly'], ['but', 'merely', 'only', 'purely', 'simply'], ['due', 'exactly', 'full', 'precisely', 'right', 'sharp', 'smack-dab', 'squarely'], ['alone', 'exclusively', 'only', 'purely', 'simply', 'solely'], ['freshly', 'late', 'lately', 'new', 'newly', 'now', 'only', 'recently']]","['but', 'right', 'now']","[['considerably', 'significantly', 'substantially', 'vastly', 'well'], ['anciently']]",[], just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.8226,59,0.3352272727272727,4.336844,15.459135
