,word_can_search,m_w_definition,m_w_synonyms,m_w_synonyms_in_data,m_w_antonyms,m_w_antonyms_in_data
0,now,"['at the present time or moment', 'in the time immediately before the present', 'in the time immediately to follow : forthwith']","[['anymore', 'currently', 'nowadays', 'presently', 'right now', 'today'], ['freshly', 'just', 'late', 'lately', 'new', 'newly', 'only', 'recently'], ['here and there', 'now and then', 'occasionally', 'sometimes'], ['bang', 'directly', 'forthwith', 'headlong', 'immediately', 'incontinently', 'instantaneously', 'instanter', 'instantly', 'PDQ', 'plumb', 'presently', 'promptly', 'pronto', 'right', 'right away', 'right now', 'right off', 'straight off', 'straightaway', 'straightway']]","['just', 'sometimes', 'right']","[['before', 'formerly', 'long', 'once', 'then'], ['anciently']]","['before', 'long', 'then']"
1,dad,['a male parent : father —often used as a name'],"[['daddy', 'father', 'old man', 'pa', 'papa', 'pater', 'pop', 'sire']]",['daddy'],[],[]
2,this,"['the person, thing, or idea that is present or near in place, time, or thought or that has just been mentioned', 'what is stated in the following phrase, clause, or discourse', 'this time or place']","[['closer', 'hither', 'near', 'nigher']]",[],"[['far', 'farther', 'further', 'opposite', 'other', 'that']]","['opposite', 'that']"
3,is,[],"[['breathes', 'exists', 'lives', 'subsists'], ['bears', 'lies', 'sits', 'stands'], ['grades', 'places', 'ranks', 'rates', 'stands'], ['befalls', 'betides', 'chances', 'comes', 'comes about', 'comes down', 'comes off', 'cooks', 'does', 'goes down', 'goes on', 'happens', 'haps', 'occurs', 'passes', 'transpires']]",['does'],"[['departs', 'dies', 'expires', 'passes away', 'perishes', 'succumbs']]",[]
4,a,"['the 1st letter of the English alphabet', 'a graphic representation of this letter', 'a speech counterpart of orthographic a']","[['au courant', 'chic', 'cool', 'exclusive', 'fashionable', 'fresh', 'happening', 'hip', 'in', 'modish', 'sharp', 'smart', 'snappy', 'stylish', 'supercool', 'swell', 'swish', 'trendy', 'voguish']]",['in'],"[['dowdy', 'out', 'outmoded', 'styleless', 'unchic', 'uncool', 'unfashionable', 'unmodish', 'unstylish']]",['out']
5,very,"['to a high degree : exceedingly', 'in actual fact : truly']","[['achingly', 'almighty', 'archly', 'awful', 'awfully', 'badly', 'beastly', 'blisteringly', 'bone', 'colossally', 'corking', 'cracking', 'damn', 'damned', 'dang', 'deadly', 'desperately', 'eminently', 'enormously', 'especially', 'ever', 'exceedingly', 'extra', 'extremely', 'fabulously', 'fantastically', 'far', 'fiercely', 'filthy', 'frightfully', 'full', 'greatly', 'heavily', 'highly', 'hugely', 'immensely', 'incredibly', 'intensely', 'jolly', 'majorly', 'mightily', 'mighty', 'monstrous', 'mortally', 'most', 'much', 'particularly', 'passing', 'rattling', 'real', 'really', 'right', 'roaring', 'roaringly', 'seriously', 'severely', 'so', 'sore', 'sorely', 'spanking', 'specially', 'stinking', 'such', 'super', 'supremely', 'surpassingly', 'terribly', 'that', 'thumping', 'too', 'unco', 'uncommonly', 'vastly', 'vitally', 'way', 'whacking', 'wicked', 'wildly'], ['actually', 'authentically', 'certifiably', 'genuinely', 'really', 'truly', 'veritably']]","['much', 'right', 'so', 'that', 'too']","[['little', 'negligibly', 'nominally', 'slightly', 'somewhat'], ['professedly', 'supposedly']]",['little']
6,sensitive,"['sensory', 'receptive to sense impressions', 'capable of being stimulated or excited by external agents (such as light, gravity, or contact)']","[['acute', 'delicate', 'fine', 'keen', 'perceptive', 'quick', 'sharp'], ['endangered', 'exposed', 'liable', 'open', 'subject (to)', 'susceptible', 'vulnerable'], ['delicate', 'fragile', 'frail', 'tender'], ['sensational', 'sensorial', 'sensory', 'sensuous'], ['catchy', 'delicate', 'difficult', 'dodgy', 'hairy', 'knotty', 'nasty', 'prickly', 'problematic', 'spiny', 'sticky', 'thorny', 'ticklish', 'touchy', 'tough', 'tricksy', 'tricky']]",['tough'],"[['insusceptible', 'invulnerable', 'unexposed', 'unsusceptible'], ['tough']]",['tough']
7,subject,"['one that is placed under authority or control: such as', 'vassal', ""one subject to a monarch and governed by the monarch's law""]","[['content', 'matter', 'motif', 'motive', 'question', 'theme', 'topic'], ['citizen', 'freeman', 'national'], ['account', 'authority', 'grounds', 'motive', 'reason', 'wherefore', 'why']]",['why'],"[['alien', 'noncitizen']]",[]
8,just,"['having a basis in or conforming to fact or reason : reasonable', 'conforming to a standard of correctness : proper', 'faithful to an original']","[['exactly', 'precisely'], ['barely', 'hardly', 'marginally', 'narrowly', 'scarcely', 'slightly'], ['but', 'merely', 'only', 'purely', 'simply'], ['due', 'exactly', 'full', 'precisely', 'right', 'sharp', 'smack-dab', 'squarely'], ['alone', 'exclusively', 'only', 'purely', 'simply', 'solely'], ['freshly', 'late', 'lately', 'new', 'newly', 'now', 'only', 'recently']]","['but', 'right', 'now']","[['considerably', 'significantly', 'substantially', 'vastly', 'well'], ['anciently']]",[]
9,the,"['—used as a function word to indicate that a following noun or noun equivalent is definite or has been previously specified by context or by circumstance', '—used as a function word to indicate that a following noun or noun equivalent is a unique or a particular member of its class', '—used as a function word before nouns that designate natural phenomena or points of the compass']","[['beer and skittles', 'easy street', 'fun and games', 'hog heaven', 'picnic']]",[],[],[]
10,two,"['being one more than one in number', 'being the second —used postpositively']","[['C-note', 'fifty', 'fin', 'five', 'fiver', 'hundred', 'one', 'sawbuck', 'ten', 'tenner', 'twenty', 'buck', 'dollar', 'simoleon', 'smacker', 'cash', 'chips', 'currency', 'dough', 'legal tender', 'lucre', 'money', 'pelf', 'dead presidents', 'paper money', 'scrip', 'check', 'draft', 'money order', 'banknote', 'bill', 'greenback', 'note']]","['five', 'one']",[],[]
11,of,"['—used as a function word to indicate a point of reckoning', '—used as a function word to indicate origin or derivation', '—used as a function word to indicate the cause, motive, or reason']","[['afore', 'ahead of', 'before', 'ere', 'fore', 'previous to', 'prior to', 'to'], ['about', 'apropos', 'apropos of', 'as far as', 'as for', 'as regards', 'as to', 'concerning', 'on', 'regarding', 'respecting', 'touching', 'toward']]","['before', 'to', 'on']","[['after', 'following']]",[]
12,us,[],"[['acquaint', 'advise', 'apprise', 'brief', 'catch up', 'clear', 'clue (in)', 'enlighten', 'familiarize', 'fill in', 'hip', 'inform', 'instruct', 'tell', 'verse', 'wise (up)']]",['tell'],[],[]
13,from,"['—used as a function word to indicate a starting point of a physical movement or a starting point in measuring or reckoning or in a statement of limits', '—used as a function word to indicate the starting or focal point of an activity', '—used as a function word to indicate physical separation or an act or condition of removal, abstention, exclusion, release, subtraction, or differentiation']",[['out of']],[],"[['amid', 'among', 'mid', 'midst', 'through', 'between', 'betwixt', 'in the thick of']]",[]
14,first,"['preceding all others in time, order, or importance: such as', 'earliest', 'being the lowest forward gear or speed of a motor vehicle']","[['earliest', 'foremost', 'headmost', 'inaugural', 'initial', 'leadoff', 'maiden', 'original', 'pioneer', 'premier', 'virgin'], ['arch', 'big', 'capital', 'cardinal', 'central', 'chief', 'dominant', 'foremost', 'grand', 'great', 'greatest', 'highest', 'key', 'leading', 'main', 'master', 'number one', 'numero uno', 'overbearing', 'overmastering', 'overriding', 'paramount', 'predominant', 'preeminent', 'premier', 'primal', 'primary', 'principal', 'prior', 'sovereign', 'supreme'], ['chief', 'commanding', 'foremost', 'head', 'high', 'lead', 'leading', 'preeminent', 'premier', 'presiding', 'primary', 'prime', 'principal', 'supereminent', 'supreme', 'top']]",['head'],"[['final', 'last', 'latest', 'latter', 'terminal', 'terminating', 'ultimate'], ['last', 'least']]",[]
15,time,"['the measured or measurable period during which an action, process, or condition exists or continues : duration', 'a nonspatial continuum that is measured in terms of events which succeed one another from past through present to future', 'leisure']","[['moment', 'occasion'], ['adventure', 'emprise', 'experience', 'exploit', 'gest', 'happening'], ['age', 'day', 'epoch', 'era', 'period'], ['continuance', 'date', 'duration', 'life', 'life span', 'lifetime', 'run', 'standing']]","['day', 'life', 'standing']",[],[]
16,doctor,"['an eminent theologian declared a sound expounder of doctrine by the Roman Catholic Church —called also doctor of the church', 'a learned or authoritative teacher', 'a person who has earned one of the highest academic degrees (such as a PhD) conferred by a university']","[['croaker', 'doc', 'medic', 'medico', 'physician', 'sawbones']]",[],"[['nondoctor', 'nonphysician']]",[]
17,placed,"['to put in or as if in a particular place or position : set', 'to present for consideration', 'to put in a particular state']","[['deposed', 'deposited', 'disposed', 'emplaced', 'fixed', 'laid', 'positioned', 'put', 'set', 'set up', 'situated', 'stuck'], ['assorted', 'broke down', 'categorized', 'classed', 'classified', 'codified', 'compartmentalized', 'compartmented', 'digested', 'distinguished', 'distributed', 'graded', 'grouped', 'pegged', 'ranged', 'ranked', 'relegated', 'separated', 'sorted', 'typed'], ['calculated', 'called', 'conjectured', 'estimated', 'figured', 'gauged', 'guessed', 'judged', 'made', 'put', 'reckoned', 'supposed'], ['graded', 'ranked', 'rated', 'stood', 'was'], ['appointed', 'assigned', 'attached', 'commissioned', 'constituted', 'designated', 'detailed', 'named', 'nominated'], ['broached', 'brought up', 'introduced', 'mooted', 'raised'], ['assumed', 'employed', 'engaged', 'feed', 'hired', 'laid on', 'paid', 'recruited', 'retained', 'signed (up or on)', 'took on']]","['was', 'paid']","[['discharged', 'dismissed', 'expelled', 'fired'], ['axed', 'canned', 'discharged', 'dismissed', 'fired', 'sacked']]",[]
18,you,"['the one or ones being addressed —used as the pronoun of the second person singular or plural in any grammatical relation except that of a possessive —used formerly only as a plural pronoun of the second person in the dative or accusative case as direct or indirect object of a verb or as object of a preposition', 'one']","[['what all', 'whatever', 'whatnot']]",[],[],[]
19,in,"['—used as a function word to indicate inclusion, location, or position within limits', 'into', '—used as a function word to indicate means, medium, or instrumentality']","[['by', 'per', 'through', 'via', 'with']]",['with'],[],[]
20,my,"['of or relating to me or myself especially as possessor, agent, object of an action, or familiar person', '—used interjectionally to express surprise and sometimes reduplicated —used also interjectionally with names of various parts of the body to express doubt or disapproval']","[['ah', 'aha', 'come on', 'fie', 'indeed', 'no', 'pshaw', 'well', 'what', 'why']]","['no', 'what', 'why']",[],[]
21,arms,"['a human upper limb; especially : the part between the shoulder and the wrist', 'something like or corresponding to an arm: such as', 'the forelimb of a vertebrate']","[['firearms', 'guns', 'heat', 'pieces', 'small arms']]",[],[],[]
22,I,"['the 9th letter of the English alphabet', 'a graphic representation of this letter', 'a speech counterpart of orthographic i']",[],[],[],[]
23,knew,[],"[['comprehended', 'grasped', 'understood'], ['endured', 'experienced', 'felt', 'had', 'passed', 'saw', 'suffered', 'sustained', 'tasted', 'underwent', 'witnessed'], ['appreciated', 'apprehended', 'assimilated', 'beheld', 'caught', 'caught on (to)', 'cognized', 'compassed', 'comprehended', 'conceived', 'cottoned (to or on to)', 'deciphered', 'decoded', 'discerned', 'dug', 'got', 'grasped', 'grokked', 'intuited', 'made', 'made out', 'perceived', 'recognized', 'registered', 'savvied', 'saw', 'seized', 'sensed', 'tumbled (to)', 'twigged', 'understood']]","['felt', 'had', 'conceived', 'got']",[['missed']],[]
24,I'd,['I would : I had : I should'],[],[],[],[]
